letter	steps
1	10102
2	11456
3	8765
4	11346
5	3579
6	6902
7	10009
8	12891
9	8745
10	12673
11	10438
12	3802
13	6985
14	11721
15	10104
16	11672
17	10720
18	11976
19	3307
20	7652
21	10105
22	10290
23	11241
24	10502
25	10902
26	4502
27	6920
28	10102
29	11024
30	11763
31	8934
